전쟁기념사업회 전쟁기념관,박물관,서울 용산구 이태원로 29,유익해요,주차하기 편해요,전시 구성이 알차요,설명이 잘 되어있어요,공간이 넓어요
르몽블랑,"카페,디저트",서울 용산구 신흥로 99-4 1층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요
레인리포트,"카페,디저트","서울 용산구 소월로40길 85 1, 2층",인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
콤포타블 남산,"카페,디저트",서울 용산구 두텁바위로60길 49 대원정사 별관 4층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,뷰가 좋아요,음료가 맛있어요
그랜드하얏트서울 갤러리,"카페,디저트",서울 용산구 소월로 322 그랜드하얏트서울 로비1층,뷰가 좋아요,디저트가 맛있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
그래픽,서점,서울 용산구 회나무로39길 33 그래픽,시설이 깔끔해요,책 읽기 쾌적해요,독특한 책이 많아요,책 종류가 다양해요,카페 같은 분위기에요
스타벅스 용산아이파크몰6F점,카페,서울 용산구 한강대로23길 55,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
오시오카페 아이파크몰용산점,"카페,디저트",서울 용산구 한강대로23길 55 아이파크몰 용산점 6층,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
와플하우스,와플,서울 용산구 청파로45길 37,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,가성비가 좋아요
AVEK CHERI,"카페,디저트","서울 용산구 이태원로 247 1,2층",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
홍철책빵,베이커리,서울 용산구 한강대로102길 57 홍철책빵,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
때가이르매,"카페,디저트",서울 용산구 두텁바위로 8 4층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
