-,-,-,-,-,-,-,-
요거트아이스크림의정석 수유점,아이스크림,서울 강북구 노해로 13 1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음식이 맛있어요,매장이 청결해요
헬로우수유,"카페,디저트",서울 강북구 도봉로85길 14 1층 헬로우수유,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요
델디아,"카페,디저트",서울 강북구 오패산로 396-1 1층델디아,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요
탐앤탐스 덕성여대점,카페,서울 강북구 삼양로 547,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,대화하기 좋아요
배스킨라빈스 삼양점,아이스크림,서울 강북구 솔샘로 225,디저트가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,음료가 맛있어요
펠어커피초코 수유점,카페,서울 강북구 노해로 37 1층 펠어커피,음료가 맛있어요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요
와플대학 미아사거리역캠퍼스,와플,서울 강북구 도봉로8길 15,디저트가 맛있어요,친절해요,가성비가 좋아요,매장이 청결해요,커피가 맛있어요
디저트39 수유역점,카페,서울 강북구 한천로140길 14 1층 디저트39수유역점,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요
전광수커피하우스 북한산점,카페,서울 강북구 4.19로 97 1층,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요
레드포션,"카페,디저트","서울 강북구 노해로8가길 10 1, 2층",커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
카페홀리,"카페,디저트",서울 강북구 솔매로50길 69 정우빌딩 1층,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,대화하기 좋아요
히치케이커,"카페,디저트","서울 강북구 한천로139가길 14 초이스빌딩 1층, 지층",디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
카페백야,"카페,디저트",서울 강북구 노해로21길 7 2층 백야,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요
