-,-,-,-,-,-,-,-
카페하인나 답십리점,"카페,디저트",서울 동대문구 전농로 43 1층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,친절해요
-,-,-,-,-,-,-,-
민들레영토 경희대점,카페,서울 동대문구 경희대로1길 34,친절해요,가성비가 좋아요,대화하기 좋아요,음료가 맛있어요,디저트가 맛있어요
메모아르,베이커리,서울 동대문구 회기로 156 2층,친절해요,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요
에이바우트커피 경희대점,카페,서울 동대문구 경희대로3길 28,커피가 맛있어요,가성비가 좋아요,집중하기 좋아요,좌석이 편해요,음료가 맛있어요
메가MGC커피 장안점,카페,서울 동대문구 장한로 116,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,디저트가 맛있어요
벤첸트,"카페,디저트",서울 동대문구 회기로21길 8-8 1층,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
벨리스,"카페,디저트",서울 동대문구 회기로25길 16 1층 벨리스,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,건강한 맛이에요
아임파이 외대본점,"카페,디저트",서울 동대문구 휘경로2길 39 1층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
프로젝트서울 신설동점,도넛,"서울 동대문구 난계로26길 69 1, 2층",디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요
티그라운드카페,카페,서울 동대문구 사가정로 272 1층 티그라운드카페,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요,친절해요,디저트가 맛있어요
풍밀 빵 연구소,베이커리,서울 동대문구 서울시립대로4길 35 1층,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,건강한 맛이에요,가성비가 좋아요
컴포즈커피 용두동아제약점,카페,서울 동대문구 무학로23길 8 1층,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
